"Position"	"file.name"	"file.extension"	"n.cells"	"eliminate"	"generations"	"newick"
88	"s15_c5_data"	".txt"	12	""	3	"((117_1:45,123_1:51):43,(((216_1:6,216_2:6):83,(216_3:22,216_4:22):67):54,(((216_5:7,216_6:7):40,(216_7:13,216_8:13):34):47,((216_9:13,216_10:13):34,(216_11:13,216_12:13):34):47):48):42);"
89	"s15_c6_data"	".txt"	17	""	3	"(((194_1:84,175_2:65):49,(216_1:97,(216_2:47,216_3:47):49):58):54,((((216_4:16,216_5:16):42,(216_6:13,216_7:13):45):44,(216_8:53,216_9:53):50):60,(((216_10:6,216_11:6):46,(216_12:13,216_13:13):39):53,((216_14:13,216_15:13):44,(216_16:1,216_17:1):56):48):57):45);"
90	"s15_c7_data"	".txt"	30	""	3	"(((((216_1:20,216_2:20):47,(216_3:13,216_4:13):54):51,((216_5:22,216_6:22):39,(216_7:15,216_8:15):46):57):43,(((216_9:9,216_10:9):54,(216_11:14,216_12:14):49):46,((216_13:18,216_14:18):45,(216_15:22,216_16:22):41):46):52):50,((216_17:124,((216_18:31,216_19:31):49,(216_20:38,216_21:38):42):42):48,((((216_22:1,216_23:1):42,216_24:44):39,(216_25:39,216_26:39):44):46,((216_27:42,216_28:42):41,(216_29:36,216_30:36):47):46):41):41);"
91	"s15_c8_data"	".txt"	20	""	3	"(((((216_1:0,216_2:0):49,(216_3:9,216_4:9):40):44,((216_5:0,216_6:0):43,(216_7:2,216_8:2):41):50):54,((216_9:49,(216_10:0,216_11:0):48):46,(216_12:44,216_13:44):51):53):50,((((216_14:7,216_15:7):40,(216_16:7,216_17:7):40):49,((216_18:3,216_19:3):44,216_20:48):49):51,(163_7:37,172_13:46):59):50);"
92	"s16_c1_data"	".txt"	26	""	3	"((((216_1:60,216_2:60):47,(216_3:57,(216_4:0,216_5:0):56):50):57,(((216_6:9,216_7:9):52,(216_8:10,216_9:10):51):48,((216_10:0,216_11:0):51,(216_12:2,216_13:2):49):58):54):46,((((216_14:16,216_15:16):52,216_16:69):52,((216_17:13,216_18:13):54,(216_19:20,216_20:20):47):53):48,((216_21:55,216_22:55):55,((216_23:7,216_24:7):43,(216_25:6,216_26:6):44):59):59):41);"
93	"s16_c2_data"	".txt"	9	""	3	"((((216_1:33,216_2:33):55,(216_3:16,216_4:16):72):60,((216_5:45,216_6:45):50,(216_7:45,(216_8:0,216_9:0):44):50):53):52,(127_5:65,127_6:65):48);"
94	"s16_c3_data"	".txt"	12	""	3	"(((216_1:18,216_2:18):124,(216_3:38,216_4:38):104):60,((((216_5:11,216_6:11):46,(216_7:13,216_8:13):44):45,((216_9:21,216_10:21):37,(216_11:18,216_12:18):40):44):47,(168_7:54,170_7:56):49):51);"
95	"s16_c4_data"	".txt"	10	""	3	"(((216_1:64,216_2:64):58,((216_3:13,216_4:13):50,(216_5:12,216_6:12):51):58):51,(((216_7:21,216_8:21):44,(216_9:20,216_10:20):45):55,(214_11:32,214_12:32):87):52);"
96	"s16_c5_data"	".txt"	10	""	3	"((((216_1:13,216_2:13):54,(216_3:2,216_4:2):65):53,(206_4:53,208_4:55):58):55,((216_5:60,216_6:60):62,((216_7:3,216_8:3):46,(216_9:4,216_10:4):45):72):54);"
97	"s16_c6_data"	".txt"	25	""	3	"(((((216_1:2,216_2:2):36,(216_3:5,216_4:5):33):43,((216_5:1,216_6:1):36,216_7:38):44):55,(((216_8:2,216_9:2):38,216_10:41):46,((216_11:4,216_12:4):35,(216_13:2,216_14:2):37):47):50):51,(((216_15:34,216_16:34):45,(216_17:37,(216_18:1,216_19:1):35):42):56,((216_20:12,216_21:12):74,((216_22:7,216_23:7):32,(216_24:9,216_25:9):30):46):49):53);"
98	"s16_c7_data"	".txt"	9	""	3	"((((216_2:42,216_3:42):64,(216_4:43,216_5:43):63):64,((216_6:48,216_7:48):54,(216_8:41,216_9:41):61):68):42,(((212_1:38,216_1:42):66,193_3:86):65,106_2:65):39);"
99	"s16_c8_data"	".txt"	11	""	3	"((((216_1:16,216_2:16):46,(216_3:19,216_4:19):43):56,((216_5:10,216_6:10):47,(216_7:1,216_8:1):56):61):56,(150_3:57,(216_9:61,(216_10:15,216_11:15):45):61):53);"
100	"s16_c9_data"	".txt"	4	""	3	"(((215_1:99,(204_2:16,209_2:21):71):61,((216_1:30,216_2:30):63,(216_3:33,216_4:33):60):67):52,(((210_6:48,211_6:49):52,186_9:77):59,140_7:91):47);"
101	"s17_c1_data"	".txt"	20	""	3	"(((((216_8:34,216_9:34):45,183_11:47):45,((216_10:26,216_11:26):53,(216_12:32,216_13:32):47):45):42,(((216_14:22,216_15:22):54,(216_16:19,207_17:10):57):43,((216_17:16,216_18:16):59,(216_19:26,216_20:26):49):44):47):45,(((216_1:46,192_2:22):54,(216_2:48,216_3:48):52):67,((216_4:43,216_5:43):67,(216_6:46,216_7:46):64):57):45);"
102	"s18_c1_data"	".txt"	16	""	3	"((((216_1:21,216_2:21):59,(216_3:6,216_4:6):74):58,((216_5:16,216_6:16):63,(216_7:15,216_8:15):64):59):50,(((216_9:25,216_10:25):54,(216_11:30,216_12:30):49):51,((216_13:30,216_14:30):52,(216_15:34,216_16:34):48):48):58);"
103	"s18_c2_data"	".txt"	21	""	3	"(((((216_1:19,216_2:19):55,(216_3:15,216_4:15):59):52,(184_3:31,184_4:31):64):49,(((216_5:30,216_6:30):52,(216_7:35,216_8:35):47):48,((216_9:37,216_10:37):47,(216_11:40,216_12:40):44):46):45):36,(((216_13:75,(216_14:24,216_15:24):50):48,(214_16:59,(216_16:9,216_17:9):51):62):50,((190_15:46,187_16:43):44,((216_18:30,216_19:30):42,(216_20:34,216_21:34):38):43):57):39);"
104	"s18_c3_data"	".txt"	1	""	3	"N/A"
105	"s19_c1_data"	".txt"	14	""	3	"((((216_1:43,216_2:43):50,(216_3:42,216_4:42):51):43,((216_5:32,216_6:32):57,(216_7:33,216_8:33):56):47):46,(((216_9:12,216_10:12):42,(216_11:9,216_12:9):45):58,((214_13:6,214_14:6):47,(216_13:5,216_14:5):50):57):70);"
106	"s19_c2_data"	".txt"	18	""	3	"(((155_1:32,160_1:37):52,((209_1:30,216_1:37):55,(216_2:20,216_3:20):72):52):58,((((216_4:19,216_5:19):40,(216_6:21,216_7:21):38):42,((216_8:17,216_9:17):37,(216_10:9,216_11:9):45):47):44,((216_12:48,(216_13:11,216_14:11):36):50,((216_15:8,216_16:8):45,(216_17:13,216_18:13):40):44):48):56);"
107	"s19_c3_data"	".txt"	10	""	3	"(((216_1:86,216_2:86):62,(194_3:62,213_3:81):64):46,(((216_3:33,216_4:33):55,(216_5:38,216_6:38):50):56,((216_7:35,216_8:35):52,(216_9:37,216_10:37):50):57):49);"
108	"s19_c4_data"	".txt"	16	""	3	"((((216_1:36,216_2:36):47,(216_3:24,216_4:24):59):49,((216_5:25,216_6:25):48,(216_7:23,216_8:23):50):59):47,(((216_9:25,216_10:25):42,(216_11:23,216_12:23):44):63,((216_13:39,216_14:39):42,(216_15:35,216_16:35):46):49):49);"
